text,likes,time,text_original,text_clean,sentiment,confidence,analysis
Indonesia semangat orang bebas.suka singkong enak 🤙😀👍🏻👍🏻🍠☕,1,1 day ago,Indonesia semangat orang bebas.suka singkong enak 🤙😀👍🏻👍🏻🍠☕,indonesia semangat orang bebas suka singkong enak,POSITIVE,0.4223,Optimisme ekonomi
"Benar pak Purbaya prediksi Jossoros emang selalu menyudutkan ekonomi kita. 
Itulah knapa investor pada panik dan sempat drop saham dan rupiah jadi melemah.",2,1 day ago,"Benar pak Purbaya prediksi Jossoros emang selalu menyudutkan ekonomi kita. 
Itulah knapa investor pada panik dan sempat drop saham dan rupiah jadi melemah.",benar pak purbaya prediksi jossoros memang selalu menyudutkan ekonomi itulah knapa investor panik sempat drop saham rupiah melemah,NEGATIVE,0.3891,Kekhawatiran ekonomi
Abis ini pasti direkrut IMF,0,1 day ago,Abis ini pasti direkrut IMF,abis pasti direkrut imf,NEGATIVE,0.4881,Kepercayaan pihak eksternal
Kawal dgn the power of netizens,1,1 day ago,Kawal dgn the power of netizens,kawal the power of netizens,POSITIVE,0.4129,Lainnya
IMF itu ibarat bang harian alias bang titil😂😂,0,1 day ago,IMF itu ibarat bang harian alias bang titil😂😂,imf ibarat bang harian alias bang titil,NEGATIVE,0.3693,Kepercayaan pihak eksternal
Mudah2an pengurus negara dan dpr gak berkhianat lagi,1,1 day ago,Mudah2an pengurus negara dan dpr gak berkhianat lagi,mudah2an pengurus negara dpr berkhianat sedang,POSITIVE,0.248,Lainnya
IMF penjajah ekonomie dunia.,0,1 day ago,IMF penjajah ekonomie dunia.,imf penjajah ekonomie dunia,NEGATIVE,0.3675,Kekhawatiran ekonomi
sehat terus ya Pak Menkeu 🎉,0,1 day ago,sehat terus ya Pak Menkeu 🎉,sehat terus pak menkeu,POSITIVE,0.4153,Lainnya
"Inilah bukti kepemimpinan yang visioner dan berwibawa. Di saat negara lain mungkin sedang mengemis bantuan, Indonesia justru pamer kekuatan pondasi ekonomi. Kita harus bersatu mendukung strategi pemerintah dalam menjaga kedaulatan fiskal. Jangan mudah terpengaruh narasi pesimis, faktanya lembaga internasional pun akhirnya mengakui kehebatan kita.",0,1 day ago,"Inilah bukti kepemimpinan yang visioner dan berwibawa. Di saat negara lain mungkin sedang mengemis bantuan, Indonesia justru pamer kekuatan pondasi ekonomi. Kita harus bersatu mendukung strategi pemerintah dalam menjaga kedaulatan fiskal. Jangan mudah terpengaruh narasi pesimis, faktanya lembaga internasional pun akhirnya mengakui kehebatan kita.",inilah bukti kepemimpinan visioner berwibawa negara lain mungkin sedang mengemis bantuan indonesia justru pamer kekuatan pondasi ekonomi bersatu mendukung strategi pemerintah menjaga kedaulatan fiskal jangan mudah terpengaruh narasi pesimis faktanya lembaga internasional akhirnya mengakui kehebatan,NEGATIVE,0.2546,Kekhawatiran ekonomi
"Alhamdulillah, senang dengar kabar kalau uang negara kita aman dan cukup buat jaga-jaga kalau dunia lagi kacau. Terima kasih Pak Purbaya sudah berjuang di Amerika buat jelasin kondisi kita yang sebenarnya. Yang penting buat kami rakyat kecil adalah harga bensin dan kebutuhan pokok tetap stabil. Semoga ekonomi Indonesia makin kuat dan pemimpin kita selalu amanah. Semangat membangun negeri!",0,1 day ago,"Alhamdulillah, senang dengar kabar kalau uang negara kita aman dan cukup buat jaga-jaga kalau dunia lagi kacau. Terima kasih Pak Purbaya sudah berjuang di Amerika buat jelasin kondisi kita yang sebenarnya. Yang penting buat kami rakyat kecil adalah harga bensin dan kebutuhan pokok tetap stabil. Semoga ekonomi Indonesia makin kuat dan pemimpin kita selalu amanah. Semangat membangun negeri!",alhamdulillah senang dengar kabar uang negara aman cukup buat jaga jaga dunia sedang kacau terima kasih pak purbaya berjuang amerika buat jelasin kondisi sebenarnya penting buat rakyat kecil harga bensin kebutuhan pokok tetap stabil semoga ekonomi indonesia makin kuat pemimpin selalu amanah semangat membangun negeri,POSITIVE,0.5351,Optimisme ekonomi
"Bangga melihat Menteri Keuangan kita berani bicara tegas di panggung internasional. Kita tidak perlu bergantung pada dana talangan asing karena kita punya cadangan sendiri yang kuat. Keberhasilan menjaga defisit di bawah 3% sambil tetap meredam gejolak harga domestik menunjukkan pemerintah benar-benar bekerja untuk rakyat. Indonesia bukan lagi penonton, tapi pemain yang diperhitungkan dunia!",0,1 day ago,"Bangga melihat Menteri Keuangan kita berani bicara tegas di panggung internasional. Kita tidak perlu bergantung pada dana talangan asing karena kita punya cadangan sendiri yang kuat. Keberhasilan menjaga defisit di bawah 3% sambil tetap meredam gejolak harga domestik menunjukkan pemerintah benar-benar bekerja untuk rakyat. Indonesia bukan lagi penonton, tapi pemain yang diperhitungkan dunia!",bangga melihat menteri keuangan berani bicara tegas panggung internasional perlu bergantung dana talangan asing punya cadangan sendiri kuat keberhasilan menjaga defisit bawah 3 sambil tetap meredam gejolak harga domestik menunjukkan pemerintah benar benar bekerja rakyat indonesia bukan sedang penonton pemain diperhitungkan dunia,NEGATIVE,0.3642,Kekhawatiran ekonomi
Langkah Pak Purbaya dalam memberikan klarifikasi langsung ke World Bank dan S&P patut diacungi jempol. Ini membuktikan bahwa fundamental ekonomi Indonesia memang solid dan tidak mudah goyah oleh sentimen global. Pertahanan fiskal kita dengan SAL Rp420 triliun adalah bukti manajemen risiko yang sangat matang. Optimis pertumbuhan ekonomi kita tetap stabil di atas 5% dan peringkat kredit aman!,0,1 day ago,Langkah Pak Purbaya dalam memberikan klarifikasi langsung ke World Bank dan S&P patut diacungi jempol. Ini membuktikan bahwa fundamental ekonomi Indonesia memang solid dan tidak mudah goyah oleh sentimen global. Pertahanan fiskal kita dengan SAL Rp420 triliun adalah bukti manajemen risiko yang sangat matang. Optimis pertumbuhan ekonomi kita tetap stabil di atas 5% dan peringkat kredit aman!,langkah pak purbaya memberikan klarifikasi langsung world bank s p patut diacungi jempol membuktikan fundamental ekonomi indonesia memang solid mudah goyah sentimen global pertahanan fiskal sal rp420 triliun bukti manajemen risiko matang optimis pertumbuhan ekonomi tetap stabil atas 5 peringkat kredit aman,POSITIVE,0.5302,Optimisme ekonomi
"Perlu juga dong dari pihak Bank Dunia atau lembaga-lembaga keuangan yang ditemui dimintai tanggapannya tentang hasil pertemuan, jadi ada seimbangnya, ga cuma keterangan dari menkeu nya aja",0,1 day ago,"Perlu juga dong dari pihak Bank Dunia atau lembaga-lembaga keuangan yang ditemui dimintai tanggapannya tentang hasil pertemuan, jadi ada seimbangnya, ga cuma keterangan dari menkeu nya aja",perlu pihak bank dunia lembaga lembaga keuangan ditemui dimintai tanggapannya tentang hasil pertemuan seimbangnya cuma keterangan menkeu aja,NEGATIVE,0.3883,Kepercayaan pihak eksternal
YA WILL SEE LAH YA,1,1 day ago,YA WILL SEE LAH YA,will see,POSITIVE,0.4278,Lainnya
"Kalo ga bohong , ya ngibul",0,1 day ago,"Kalo ga bohong , ya ngibul",bohong ngibul,NEGATIVE,0.3755,Skeptisisme terhadap pemerintah
"Ingat ya, kita sebagai masyarakat awam jangan mudah termakan propaganda world bank dan IMF",1,1 day ago,"Ingat ya, kita sebagai masyarakat awam jangan mudah termakan propaganda world bank dan IMF",ingat sebagai masyarakat awam jangan mudah termakan propaganda world bank imf,NEGATIVE,0.4694,Kepercayaan pihak eksternal
"Do'a terbaik untuk para pemimpin bangsa semoga Allah selalu membimbing dan melindungi, memberi jalan keluar setiap permasalahan dan membawa kesejahteraan rakyat Indonesia.",4,1 day ago,"Do'a terbaik untuk para pemimpin bangsa semoga Allah selalu membimbing dan melindungi, memberi jalan keluar setiap permasalahan dan membawa kesejahteraan rakyat Indonesia.",do a terbaik para pemimpin bangsa semoga allah selalu membimbing melindungi memberi jalan keluar setiap permasalahan membawa kesejahteraan rakyat indonesia,POSITIVE,0.7813,Apresiasi individu
"Mereka cuma pengin mengukur keuangan Indonesia.hati hati mau dikerjain.Coba dipikir kalau negara kuat gak butuh bantuan ekonomi mereka mau cuan dari mana?,khan pendapatan mereka dari bunga bank",3,1 day ago (edited),"Mereka cuma pengin mengukur keuangan Indonesia.hati hati mau dikerjain.Coba dipikir kalau negara kuat gak butuh bantuan ekonomi mereka mau cuan dari mana?,khan pendapatan mereka dari bunga bank",cuma pengin mengukur keuangan indonesia hati hati mau dikerjain coba dipikir negara kuat butuh bantuan ekonomi mau cuan mana khan pendapatan bunga bank,NEGATIVE,0.454,Kekhawatiran ekonomi
Sekelas televisi nasional aja masih ada gangguan sinyal gimana kita yg beli kota di konter terdekat😂,0,1 day ago,Sekelas televisi nasional aja masih ada gangguan sinyal gimana kita yg beli kota di konter terdekat😂,sekelas televisi nasional aja gangguan sinyal gimana beli kota konter terdekat,NEGATIVE,0.2738,Lainnya
"Bangkrut kebanyakan buat MBG, uang apbn malah buat sewa buzzer terwo",1,1 day ago,"Bangkrut kebanyakan buat MBG, uang apbn malah buat sewa buzzer terwo",bangkrut kebanyakan buat mbg uang apbn malah buat sewa buzzer terwo,NEGATIVE,0.4688,Lainnya
Ttp waspada hadapi mereka pak pur. Mereka udah berkali2 porak-porandakan negara2 berkembang. Mereka doyan cari cuan di negara2 betkembang seperti kita.,1,1 day ago,Ttp waspada hadapi mereka pak pur. Mereka udah berkali2 porak-porandakan negara2 berkembang. Mereka doyan cari cuan di negara2 betkembang seperti kita.,ttp waspada hadapi pak pur berkali2 porak porandakan negara2 berkembang doyan cari cuan negara2 betkembang,POSITIVE,0.214,Optimisme ekonomi
"PURBAYA MENKEU TERBAIK PRO RAKYAT PINTAR CERDAS AKAL WARAS JUJUR AMANAH TAQWA AKHLAK MULIA, SAYANG ATASAN TAK PAHAM OMON2 DIBAYANGIN KO DOG.",0,1 day ago,"PURBAYA MENKEU TERBAIK PRO RAKYAT PINTAR CERDAS AKAL WARAS JUJUR AMANAH TAQWA AKHLAK MULIA, SAYANG ATASAN TAK PAHAM OMON2 DIBAYANGIN KO DOG.",purbaya menkeu terbaik pro rakyat pintar cerdas akal waras jujur amanah taqwa akhlak mulia sayang atasan tak paham omon2 dibayangin ko dog,NEGATIVE,0.2651,Lainnya
"Semoga Allah selalu melindungi pak Purbaya yg sdg memperjuangkan kesejahteraan rakyat, melalui bidang ekonomi, semoga ekonomi Indonesia selalu stabil ditengah goncangan ekonomi dunia krn perang Dunia.",1,1 day ago,"Semoga Allah selalu melindungi pak Purbaya yg sdg memperjuangkan kesejahteraan rakyat, melalui bidang ekonomi, semoga ekonomi Indonesia selalu stabil ditengah goncangan ekonomi dunia krn perang Dunia.",semoga allah selalu melindungi pak purbaya sedang memperjuangkan kesejahteraan rakyat melalui bidang ekonomi semoga ekonomi indonesia selalu stabil ditengah goncangan ekonomi dunia perang dunia,POSITIVE,0.6135,Apresiasi individu
Pak purbaya tanggung jawab beban kerjanya lebih berat daripada wapres,1,1 day ago,Pak purbaya tanggung jawab beban kerjanya lebih berat daripada wapres,pak purbaya tanggung jawab beban kerjanya berat daripada wapres,POSITIVE,0.37,Apresiasi individu
"Gagal semua ujung na minta hutang, buaya lucu 😂",0,1 day ago,"Gagal semua ujung na minta hutang, buaya lucu 😂",gagal ujung na minta hutang buaya lucu,NEGATIVE,0.7833,Kekhawatiran ekonomi
"Mau pinjam uang ya ? Negara' fiskal nya lagi jelek karena disemua lini dikorupsi..mulai dari tingkat bupati sampai pusat. 

MBG pun bagi2 uang aja ke lingkaran mereka kan",0,1 day ago,"Mau pinjam uang ya ? Negara' fiskal nya lagi jelek karena disemua lini dikorupsi..mulai dari tingkat bupati sampai pusat. 

MBG pun bagi2 uang aja ke lingkaran mereka kan",mau pinjam uang negara fiskal sedang jelek disemua lini dikorupsi mulai tingkat bupati sampai pusat mbg bagi2 uang aja lingkaran,NEGATIVE,0.7122,Lainnya
Mantap pak Purbaya semoga perekonomian RI semakin maju ya pak,2,1 day ago,Mantap pak Purbaya semoga perekonomian RI semakin maju ya pak,mantap pak purbaya semoga perekonomian ri semakin maju pak,POSITIVE,0.3333,Dukungan terhadap pemerintah
"Sehat selalu pak Purbaya, semangat berjuang, semoga lelahmu di ganti lilah oleh allah SWT. Aamiiin ya robb",2,1 day ago,"Sehat selalu pak Purbaya, semangat berjuang, semoga lelahmu di ganti lilah oleh allah SWT. Aamiiin ya robb",sehat selalu pak purbaya semangat berjuang semoga lelahmu ganti lilah allah swt aamiiin robb,POSITIVE,0.6728,Optimisme ekonomi
"NGK ADA YANG PERCAYA KOMPAS SKRANG, berita iran aja bisa HOAX apalagi ekonomi dalam negeri bgni yng udah pasti PROPAGANDA.",0,1 day ago,"NGK ADA YANG PERCAYA KOMPAS SKRANG, berita iran aja bisa HOAX apalagi ekonomi dalam negeri bgni yng udah pasti PROPAGANDA.",ngk percaya kompas skrang berita iran aja hoax apalagi ekonomi negeri bgni pasti propaganda,NEGATIVE,0.664,Kekhawatiran ekonomi
"Hati"" pk purrr di perbankan masih bbyk oknum yg jadi kaki tangan imf dan si soros ,mereka tidak mau jika indonesia bisa mandiri",7,1 day ago,"Hati"" pk purrr di perbankan masih bbyk oknum yg jadi kaki tangan imf dan si soros ,mereka tidak mau jika indonesia bisa mandiri",hati pk purrr perbankan bbyk oknum kaki tangan imf si soros mau indonesia mandiri,NEGATIVE,0.4995,Kepercayaan pihak eksternal
Sudahlah. Hapuskan MBG.,5,1 day ago,Sudahlah. Hapuskan MBG.,sudahlah hapuskan mbg,NEGATIVE,0.2942,Lainnya
Buktinya hutang nambah teros 😅,0,1 day ago,Buktinya hutang nambah teros 😅,buktinya hutang nambah teros,NEGATIVE,0.366,Kekhawatiran ekonomi
Rakyat bersama anda pak Purbaya 🎉,1,1 day ago,Rakyat bersama anda pak Purbaya 🎉,rakyat bersama anda pak purbaya,POSITIVE,0.4761,Apresiasi individu
Sehat selalu bpk ku pejuang sejati semoga dalam lindungan allah❤❤❤,1,1 day ago,Sehat selalu bpk ku pejuang sejati semoga dalam lindungan allah❤❤❤,sehat selalu bpk ku pejuang sejati semoga lindungan allah,POSITIVE,0.5578,Lainnya
"Akhirnya Hutang juga ke IMF..siap menyusul Argentina, lebanon, Yunani dan Srilanka.",1,1 day ago (edited),"Akhirnya Hutang juga ke IMF..siap menyusul Argentina, lebanon, Yunani dan Srilanka.",akhirnya hutang imf siap menyusul argentina lebanon yunani srilanka,NEGATIVE,0.5434,Kekhawatiran ekonomi
"Terima kasih pak, saya mendoakan kesuksesan bapak 🙏",11,1 day ago,"Terima kasih pak, saya mendoakan kesuksesan bapak 🙏",terima kasih pak mendoakan kesuksesan bapak,POSITIVE,0.2693,Lainnya
Omong kosong😂😂,0,1 day ago,Omong kosong😂😂,omong kosong,NEGATIVE,0.2883,Skeptisisme terhadap pemerintah
"Bersiap APBN jebol dampaknya pemerintahan runtuh, pegawai tidak digaji, kekacauan dimana2, terjadi perebutan kekuasaan bahkan NKRI bisa terpecah seperti kata prabowo indonesia akan bubar 2030. MBG dan Koperasi tetap jalan😂😂",1,1 day ago,"Bersiap APBN jebol dampaknya pemerintahan runtuh, pegawai tidak digaji, kekacauan dimana2, terjadi perebutan kekuasaan bahkan NKRI bisa terpecah seperti kata prabowo indonesia akan bubar 2030. MBG dan Koperasi tetap jalan😂😂",bersiap apbn jebol dampaknya pemerintahan runtuh pegawai digaji kekacauan dimana2 terjadi perebutan kekuasaan bahkan nkri terpecah kata prabowo indonesia bubar 2030 mbg koperasi tetap jalan,NEGATIVE,0.6859,Lainnya
mantap pak purbaya sehat2,0,1 day ago,mantap pak purbaya sehat2,mantap pak purbaya sehat2,POSITIVE,0.2715,Dukungan terhadap pemerintah
Buzer sp lo bro,0,1 day ago,Buzer sp lo bro,buzer sp kamu bro,POSITIVE,0.2932,Lainnya
Rupiah sudah tembus 17.200 / dolar AS,0,1 day ago (edited),Rupiah sudah tembus 17.200 / dolar AS,rupiah tembus 17 200 dolar as,NEGATIVE,0.621,Kekhawatiran ekonomi
KLO Sri Mulyani pasti minjem🤣🤣🤣,0,1 day ago,KLO Sri Mulyani pasti minjem🤣🤣🤣,sri mulyani pasti minjem,NEGATIVE,0.3032,Lainnya
Mereka mah sudah ngarungin saham indo harga murah besar besaran. Kurangajar emang,0,1 day ago,Mereka mah sudah ngarungin saham indo harga murah besar besaran. Kurangajar emang,mah ngarungin saham indo harga murah besar besaran kurangajar memang,NEGATIVE,0.4283,Kekhawatiran ekonomi
Manatab pak Pur👍👍,0,1 day ago,Manatab pak Pur👍👍,manatab pak pur,POSITIVE,0.269,Lainnya
stop !  jangan mau jadi budaknya imf !,0,1 day ago,stop !  jangan mau jadi budaknya imf !,stop jangan mau budaknya imf,NEGATIVE,0.73,Kepercayaan pihak eksternal
"Dengerin imf bank dunia mulai colek2 tuh rasanya spt Dejavu ke 98, pelajaran sangat berharga betapa pentingnya orang2 cerdas yg berkuasa n politik yg stabil. Semoga para pengkhianat bangsa ini n parpol/politikus tidak egois hanya mementingkan kepentingannya sndr n mengorbankan kepentingan negara.",16,1 day ago,"Dengerin imf bank dunia mulai colek2 tuh rasanya spt Dejavu ke 98, pelajaran sangat berharga betapa pentingnya orang2 cerdas yg berkuasa n politik yg stabil. Semoga para pengkhianat bangsa ini n parpol/politikus tidak egois hanya mementingkan kepentingannya sndr n mengorbankan kepentingan negara.",dengerin imf bank dunia mulai colek2 rasanya spt dejavu 98 pelajaran berharga betapa pentingnya orang2 cerdas berkuasa n politik stabil semoga para pengkhianat bangsa n parpol politikus egois hanya mementingkan kepentingannya sndr n mengorbankan kepentingan negara,NEGATIVE,0.5301,Kekhawatiran ekonomi
Biar saja rupiah ambruk sy tdk punya uang di bank indonesia,1,1 day ago (edited),Biar saja rupiah ambruk sy tdk punya uang di bank indonesia,supaya rupiah ambruk punya uang bank indonesia,NEGATIVE,0.403,Kekhawatiran ekonomi
"Rupiah dah diatas 17 ribu, jaman bu sri rupiah diatas 16 ribu aja dah banyak yg nyerang, sekarang pengamat disiram air keras jadi pada diam",2,1 day ago,"Rupiah dah diatas 17 ribu, jaman bu sri rupiah diatas 16 ribu aja dah banyak yg nyerang, sekarang pengamat disiram air keras jadi pada diam",rupiah diatas 17 ribu jaman bu sri rupiah diatas 16 ribu aja banyak nyerang sekarang pengamat disiram air keras diam,NEGATIVE,0.6454,Kekhawatiran ekonomi
"Sehat slalu pk Purbaya ❤❤
Trs berjuang utk kebaikan Rakyat",0,1 day ago,"Sehat slalu pk Purbaya ❤❤
Trs berjuang utk kebaikan Rakyat",sehat slalu pk purbaya trs berjuang kebaikan rakyat,POSITIVE,0.5418,Apresiasi individu
"banyak makan dan istirahat pak, kesian bpk makin kurus",0,1 day ago,"banyak makan dan istirahat pak, kesian bpk makin kurus",banyak makan istirahat pak kesian bpk makin kurus,POSITIVE,0.27,Lainnya
Mantap pak purbaya,2,1 day ago,Mantap pak purbaya,mantap pak purbaya,NEUTRAL,0.2742,
Mau aja dimodusin pemerintah dengan bilang keuangan negara aman orang rakyat udah pada sekarat,4,1 day ago,Mau aja dimodusin pemerintah dengan bilang keuangan negara aman orang rakyat udah pada sekarat,mau aja dimodusin pemerintah bilang keuangan negara aman orang rakyat sekarat,NEGATIVE,0.506,Lainnya
ringgit hampir lepel 5rb,0,1 day ago,ringgit hampir lepel 5rb,ringgit hampir lepel 5rb,NEGATIVE,0.3368,Lainnya
Alhamdulillah,2,1 day ago,Alhamdulillah,alhamdulillah,POSITIVE,0.2986,Lainnya
"Agaran negeri aman dan yg tidak aman para keluarga dan pengikut mafia migas, mafia sawit, para koruptor pajak, dll., yg di bredel pemerintah Pak Prabowo dan team nya.",2,1 day ago,"Agaran negeri aman dan yg tidak aman para keluarga dan pengikut mafia migas, mafia sawit, para koruptor pajak, dll., yg di bredel pemerintah Pak Prabowo dan team nya.",agaran negeri aman aman para keluarga pengikut mafia migas mafia sawit para koruptor pajak dll bredel pemerintah pak prabowo team,NEGATIVE,0.272,Lainnya
Sehat sehat pak Purbaya. Kami padamu.,0,1 day ago,Sehat sehat pak Purbaya. Kami padamu.,sehat sehat pak purbaya padamu,POSITIVE,0.6166,Apresiasi individu
Omon omon terus mana rupiah 17 ribu banyak yang di PHK,0,1 day ago,Omon omon terus mana rupiah 17 ribu banyak yang di PHK,omon omon terus mana rupiah 17 ribu banyak phk,NEGATIVE,0.5504,Kekhawatiran ekonomi
Mungkin uang kamu disimpan di karung ya ??? uang haram ya ?? Wkwkkwk😂😂😂,0,1 day ago,Mungkin uang kamu disimpan di karung ya ??? uang haram ya ?? Wkwkkwk😂😂😂,mungkin uang kamu disimpan karung uang haram wkwkkwk,NEGATIVE,0.5943,Lainnya
gak sekolah apa gimana bro? wkwk,0,1 day ago,gak sekolah apa gimana bro? wkwk,sekolah apa gimana bro,POSITIVE,0.2876,Lainnya
Bbm ga naik ga ada yg yg gembor² bro 🤭🤭😁😁bukan maslah 17 atau 20 ibu kalo ga tau ekonomi mending diem dari pada sok tau coba kalo sempat bbm naik ingaat ga luuu sebelum ini pajak tinggi itu mentri siapa itu real fakta bukan omon² 😂😂😂,0,1 day ago,Bbm ga naik ga ada yg yg gembor² bro 🤭🤭😁😁bukan maslah 17 atau 20 ibu kalo ga tau ekonomi mending diem dari pada sok tau coba kalo sempat bbm naik ingaat ga luuu sebelum ini pajak tinggi itu mentri siapa itu real fakta bukan omon² 😂😂😂,bbm naik gembor bro bukan maslah 17 20 ibu tau ekonomi mending diem sok tau coba sempat bbm naik ingaat luuu sebelum pajak tinggi mentri siapa real fakta bukan omon,NEGATIVE,0.6282,Kekhawatiran ekonomi
​ @SatriaSalsa-pn2kw penyiram air keras lu ya,0,1 day ago,​ @SatriaSalsa-pn2kw penyiram air keras lu ya,pn2kw penyiram air keras kamu,NEGATIVE,0.2717,Lainnya
Mana benar lagi😅😂,0,1 day ago,Mana benar lagi😅😂,mana benar sedang,POSITIVE,0.504,Lainnya
Baru juga diatas 17 ribu. Di Iran 1  $ sm dgn sejutaan dibandingkan mata uang mereka. Mereka nyantai aja.,0,1 day ago,Baru juga diatas 17 ribu. Di Iran 1  $ sm dgn sejutaan dibandingkan mata uang mereka. Mereka nyantai aja.,baru diatas 17 ribu iran 1 sejutaan dibandingkan mata uang nyantai aja,NEGATIVE,0.4657,Lainnya
"​ @Romlih-gp3yw mereka banyak sehingga simpan emas batangan, lah qt yg rendah main saham aja mana tahan 1000rupiah sebulan 😂",0,1 day ago,"​ @Romlih-gp3yw mereka banyak sehingga simpan emas batangan, lah qt yg rendah main saham aja mana tahan 1000rupiah sebulan 😂",gp3yw banyak sehingga simpan emas batangan qt rendah main saham aja mana tahan 1000rupiah sebulan,NEGATIVE,0.3918,Kekhawatiran ekonomi
"eh, pengamat yang disiram air keras itu kasus UU TNI dan satu lagi lupa w yg kasus pak novel baswedan, gak ada hubungan ke ekonomi",0,1 day ago,"eh, pengamat yang disiram air keras itu kasus UU TNI dan satu lagi lupa w yg kasus pak novel baswedan, gak ada hubungan ke ekonomi",eh pengamat disiram air keras kasus uu tni satu sedang lupa w kasus pak novel baswedan hubungan ekonomi,NEGATIVE,0.5031,Kekhawatiran ekonomi
"Karna qt uda biasa susah, kaget bila langsung terjun 20 😂",0,1 day ago,"Karna qt uda biasa susah, kaget bila langsung terjun 20 😂",qt uda biasa susah kaget bila langsung terjun 20,NEUTRAL,0.2945,
Komenan Buzzer tambang ilegal yg ditutup pemerintah. 😂,2,1 day ago,Komenan Buzzer tambang ilegal yg ditutup pemerintah. 😂,komenan buzzer tambang ilegal ditutup pemerintah,NEGATIVE,0.7455,Lainnya
Rakyat mana yg sekarat,0,1 day ago,Rakyat mana yg sekarat,rakyat mana sekarat,NEGATIVE,0.3123,Lainnya
"Mudah mudahan di ijabah omongan Lo ,kamu sekarat😂😂😂",2,1 day ago,"Mudah mudahan di ijabah omongan Lo ,kamu sekarat😂😂😂",mudah mudahan ijabah omongan kamu kamu sekarat,NEUTRAL,0.2824,
😁😁😁😀 kalo mau tau tany a ke beliau langsung biar ga jadi fitnah 😁,1,1 day ago,😁😁😁😀 kalo mau tau tany a ke beliau langsung biar ga jadi fitnah 😁,mau tau tany a beliau langsung supaya fitnah,NEGATIVE,0.4656,Lainnya
Lahh otak lu ada gk tong😅,0,1 day ago,Lahh otak lu ada gk tong😅,lahh otak kamu tong,NEGATIVE,0.4828,Lainnya
Trimakasih pak,3,1 day ago,Trimakasih pak,trimakasih pak,NEUTRAL,0.2648,
Real Menteri terbaik,1,1 day ago,Real Menteri terbaik,real menteri terbaik,POSITIVE,0.928,Apresiasi individu
"KERJA KERAS PAK PURBAYA TDK SELARAS KEBIJAKAN PEMERINTAH TERKAIT PEMBOROSAN ANGGARAN, SALAH SATUNYA PROGRAM BGN MBG, PAK PURBAYA KEJEPIT",1,1 day ago,"KERJA KERAS PAK PURBAYA TDK SELARAS KEBIJAKAN PEMERINTAH TERKAIT PEMBOROSAN ANGGARAN, SALAH SATUNYA PROGRAM BGN MBG, PAK PURBAYA KEJEPIT",kerja keras pak purbaya selaras kebijakan pemerintah terkait pemborosan anggaran salah satunya program bgn mbg pak purbaya kejepit,POSITIVE,0.2901,Apresiasi individu
